c/n vertex_id cluster_id
c 0 0
c 2 2
c 5 2
c 6 2
c 7 2
c 8 2
c 15 2
c 16 2
c 21 2
c 25 2
c 26 2
c 31 2
c 34 34
c 40 2
c 42 2
c 43 34
c 44 2
c 47 47
c 54 2
c 55 2
c 59 2
c 63 63
c 65 2
c 66 2
c 67 34
c 72 2
c 73 73
c 77 2
c 85 2
c 87 2
c 88 2
c 89 2
c 91 2
c 94 2
c 96 2
c 97 2
c 101 2
c 102 2
c 103 2
c 105 2
c 106 2
c 112 2
c 117 2
c 119 2
c 121 2
c 122 122
c 126 2
c 131 2
c 137 2
c 138 2
c 139 2
c 141 2
c 145 2
c 146 2
c 150 2
c 153 2
c 155 2
c 157 2
c 161 2
c 163 2
c 166 2
c 169 34
c 171 171
c 172 2
c 179 2
c 180 2
c 182 2
c 184 2
c 187 2
c 189 2
c 190 2
c 191 2
c 196 2
c 198 198
c 201 201
c 202 2
c 208 2
c 218 2
c 221 2
c 223 2
c 227 2
c 228 2
c 235 2
c 236 2
c 239 2
c 240 2
c 245 2
c 249 2
c 250 2
c 251 2
c 253 2
c 256 2
c 258 2
c 259 2
c 262 2
c 265 2
c 267 267
c 273 2
c 278 2
c 283 2
c 284 2
c 285 2
c 286 286
c 289 34
c 293 2
c 296 296
c 301 2
c 302 2
c 311 2
c 312 2
c 315 2
c 317 2
c 323 323
c 331 2
c 332 2
c 335 2
c 336 2
c 338 338
c 339 2
c 340 2
c 341 2
c 344 2
c 346 2
c 350 2
c 352 2
c 353 353
c 354 2
c 355 2
c 356 2
c 359 2
c 364 2
c 366 2
c 374 2
c 379 2
c 380 2
c 381 2
c 382 2
c 383 2
c 386 2
c 387 2
c 395 2
c 399 2
c 403 2
c 405 2
c 407 2
c 412 2
c 416 2
c 420 2
c 423 2
c 424 201
c 426 201
c 427 2
c 428 2
c 430 2
c 432 2
c 436 2
c 443 2
c 444 338
c 453 453
c 454 286
c 458 2
c 462 2
c 470 2
c 471 2
c 472 2
c 475 2
c 477 2
c 479 2
c 484 2
c 486 338
c 491 2
c 495 2
c 496 2
c 497 2
c 500 2
c 504 2
c 507 2
c 510 2
c 513 2
c 514 2
c 516 2
c 518 201
c 523 2
c 527 2
c 528 2
c 529 2
c 531 2
c 532 122
c 533 2
c 540 2
c 541 2
c 546 2
c 547 2
c 548 2
c 552 552
c 556 2
c 557 557
c 559 2
c 564 2
c 565 2
c 569 34
c 570 338
c 572 338
c 573 2
c 579 2
c 581 2
c 585 2
c 586 2
c 589 2
c 590 338
c 593 2
c 594 2
c 595 201
c 596 338
c 598 201
c 600 201
c 604 2
c 605 2
c 612 2
c 616 34
c 618 2
c 619 2
c 621 2
c 623 2
c 626 34
c 635 2
c 645 2
c 656 2
c 660 2
c 670 2
c 671 2
c 673 2
c 679 2
c 681 2
c 686 2
c 687 2
c 693 693
c 704 2
c 705 34
c 706 2
c 707 2
c 708 2
c 716 2
c 717 2
c 718 2
c 723 2
c 726 2
c 732 2
c 734 2
c 736 2
c 737 2
c 738 34
c 739 2
c 740 2
c 741 2
c 742 2
c 746 2
c 749 2
c 750 750
c 753 2
c 757 2
c 763 2
c 767 122
c 769 2
c 772 2
c 775 2
c 776 2
c 778 2
c 782 47
c 784 2
c 785 2
c 789 2
c 790 198
c 791 2
c 792 2
c 795 2
c 796 201
c 799 2
c 806 806
